ASVID	taxonomy
ASV589	Bacteria;Cyanobacteria;PAC000053_c;PAC000053_o;PAC000053_f;PAC000053_g;unknown
ASV308	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;unknown
ASV428	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;unknown
ASV60	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;unknown
ASV266	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Oceanibaculum;unknown
ASV568	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unknown
ASV280	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unknown
ASV415	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unknown
ASV163	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unknown
ASV553	Bacteria;Actinobacteria;Actinobacteria_c;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;unknown
ASV164	Bacteria;Actinobacteria;Actinobacteria_c;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;unknown
ASV560	Bacteria;Actinobacteria;Actinobacteria_c;Propionibacteriales;Nocardioidaceae;Nocardioides;unknown
ASV532	Bacteria;Nitrospirae;Nitrospira_c;Nitrospirales;Nitrospiraceae;Nitrospira;unknown
ASV596	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;unknown
ASV237	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Myxococcus;unknown
ASV27	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Mycobacteriaceae;Mycobacterium;unknown
ASV524	Bacteria;Deferribacteres;Deferribacteres_c;Deferribacterales;Deferribacteraceae;Mucispirillum;unknown
ASV393	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;unknown
ASV510	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;unknown
ASV495	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Micrococcus;unknown
ASV82	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Microbacterium;unknown
ASV571	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;unknown
ASV139	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;unknown
ASV290	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;unknown
ASV561	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;unknown
ASV287	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;unknown
ASV86	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV484	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV131	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV313	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV199	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV221	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV129	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV71	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;unknown
ASV159	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Marinococcus;unknown
ASV148	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacter_f;Marinobacter;unknown
ASV156	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium;unknown
ASV197	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium;unknown
ASV350	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;unknown
ASV474	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;unknown
ASV202	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;unknown
ASV240	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;unknown
ASV343	Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae;Longimicrobium;unknown
ASV63	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Leucobacter;unknown
ASV319	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;unknown
ASV316	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;unknown
ASV250	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Lawsonella_f;Lawsonella;unknown
ASV363	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Larkinella;unknown
ASV304	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Larkinella;unknown
ASV113	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;unknown
ASV19	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unknown
ASV365	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unknown
ASV298	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unknown
ASV423	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unknown
ASV107	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Kocuria;unknown
ASV133	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Kocuria;unknown
ASV346	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Kocuria;unknown
ASV218	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;unknown
ASV398	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;unknown
ASV178	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;JPOM_g;unknown
ASV184	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;JPOM_g;unknown
ASV211	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;unknown
ASV468	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;unknown
ASV65	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;unknown
ASV222	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas salmonicida
ASV396	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium facile
ASV358	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;JN825577_g;JN825577_s
ASV118	Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Jonquetella;Jonquetella anthropi
ASV340	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus aviarius
ASV337	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus paracasei
ASV109	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus paracasei
ASV44	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus paracasei
ASV34	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sakei
ASV573	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis
ASV100	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii
ASV41	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii
ASV143	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii
ASV87	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Ralstonia_f;Ralstonia;Ralstonia syzygii
ASV18	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
ASV31	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum
ASV392	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus
ASV72	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus succinus
ASV384	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;unknown;unknown;unknown
ASV432	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unknown;unknown;unknown
ASV479	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;unknown
ASV330	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;unknown
ASV445	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;unknown
ASV264	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;unknown
ASV252	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Quisquiliibacterium_f;HQ910358_g;unknown
ASV404	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;HM366486_g;unknown
ASV231	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;unknown
ASV359	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;unknown
ASV315	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;unknown
ASV47	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;unknown
ASV13	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;unknown
ASV541	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;unknown
ASV192	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella;unknown
ASV196	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Gracilibacillus;unknown
ASV576	Bacteria;Chloroflexi;GQ396871_c;GQ396871_o;GQ396871_f;GQ396871_g;unknown
ASV299	Bacteria;Rhodothermaeota;Balneolia;Balneolales;Balneolaceae;GQ262972_g;unknown
ASV267	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Gordonia;unknown
ASV73	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Gordonia;unknown
ASV273	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Glycocaulis;unknown
ASV46	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Glutamicibacter;unknown
ASV256	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Glutamicibacter;unknown
ASV94	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Glutamicibacter;unknown
ASV301	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Glomeribacter;unknown
ASV513	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Bogoriellaceae;Georgenia;unknown
ASV285	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;unknown
ASV512	Bacteria;Gemmatimonadetes;Gemmatimonadetes_c;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa;unknown
ASV569	Bacteria;Firmicutes;Bacilli;Bacillales;Gemella_f;Gemella;unknown
ASV120	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter;unknown
ASV235	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;unknown
ASV302	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;unknown
ASV433	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;unknown
ASV372	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavitalea;unknown
ASV408	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavitalea;unknown
ASV485	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;unknown
ASV227	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;unknown
ASV518	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;FJ542958_g;unknown
ASV506	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;FJ542958_g;unknown
ASV157	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;GU983350_f;EU801574_g;unknown
ASV586	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;EU801149_g;unknown
ASV93	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;unknown
ASV150	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;unknown
ASV420	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;unknown
ASV247	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;unknown
ASV35	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;unknown
ASV80	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown
ASV312	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown
ASV8	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown
ASV9	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown
ASV342	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown
ASV272	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;unknown
ASV345	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;unknown
ASV480	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;EF494316_g;unknown
ASV168	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Alysiosphaera_f;EF125410_g;unknown
ASV371	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;unknown
ASV193	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;unknown
ASV89	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Domibacillus;unknown
ASV16	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Dietziaceae;Dietzia;unknown
ASV265	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Dietziaceae;Dietzia;unknown
ASV130	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;unknown
ASV289	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV418	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV171	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV457	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV190	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV547	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV117	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosia_f;Devosia;unknown
ASV67	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Demequinaceae;Demequina;unknown
ASV339	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;unknown
ASV454	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;unknown
ASV411	Bacteria;Actinobacteria;Actinobacteria_c;Propionibacteriales;Propionibacteriaceae;Cutibacterium;unknown
ASV577	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV360	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV216	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV555	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV253	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV357	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unknown
ASV153	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g34;unknown
ASV584	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;unknown
ASV460	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;unknown
ASV442	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;unknown
ASV427	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;unknown
ASV207	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Citricoccus;unknown
ASV352	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Chujaibacter;unknown
ASV551	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Chryseolinea;unknown
ASV441	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Chryseolinea;unknown
ASV581	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;unknown
ASV149	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter;unknown
ASV123	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter;unknown
ASV554	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga;unknown
ASV181	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Chelativorans;unknown
ASV274	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;unknown
ASV314	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;unknown
ASV291	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;unknown
ASV307	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;unknown
ASV520	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Promicromonosporaceae;Cellulosimicrobium;unknown
ASV378	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Cellulomonadaceae;Cellulomonas;unknown
ASV261	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Cellulomonadaceae;Cellulomonas;unknown
ASV570	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Cavicella;unknown
ASV478	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;unknown
ASV58	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Amoebophilaceae;Cardinium;unknown
ASV23	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;unknown
ASV76	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Chelatococcaceae;Camelimonas;unknown
ASV6	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;unknown
ASV386	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV489	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV521	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV174	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV397	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV461	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV464	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unknown
ASV29	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium;unknown
ASV328	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium;unknown
ASV79	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium;unknown
ASV104	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;unknown
ASV69	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;unknown
ASV43	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium;unknown
ASV138	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium;unknown
ASV96	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium;unknown
ASV111	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium;unknown
ASV593	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bosea_f;Bosea;unknown
ASV585	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;unknown
ASV114	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;unknown
ASV523	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unknown
ASV522	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unknown
ASV262	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unknown
ASV500	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV388	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV208	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV421	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV407	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV141	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV85	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV440	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV17	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV362	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV52	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV59	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV251	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV170	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV64	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV399	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV3	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV77	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV75	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV341	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV186	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV182	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unknown
ASV410	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas;unknown
ASV254	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas;unknown
ASV563	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;unknown
ASV333	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter;unknown
ASV155	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter;unknown
ASV136	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter;unknown
ASV295	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter;unknown
ASV223	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus;unknown
ASV448	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;unknown
ASV70	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Arcticibacter;unknown
ASV549	Bacteria;Actinobacteria;Actinobacteria_c;Actinomycetales;Actinomycetaceae;Arcanobacterium;unknown
ASV126	Bacteria;Actinobacteria;Actinobacteria_c;Actinomycetales;Actinomycetaceae;Arcanobacterium;unknown
ASV528	Bacteria;Actinobacteria;Actinobacteria_c;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;unknown
ASV543	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Aminobacter;unknown
