ASVID	taxonomy
ASV173	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;PAC000056_g;unknown
ASV525	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Ornithinibacillus;unknown
ASV379	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unknown
ASV158	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unknown
ASV244	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unknown
ASV565	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Notoacmeibacteraceae;Notoacmeibacter;unknown
ASV377	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Nibribacter;unknown
ASV283	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;unknown
ASV546	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermacoccaceae;Luteipulveratus;unknown
ASV242	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;unknown
ASV591	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;unknown
ASV519	Bacteria;Actinobacteria;Actinobacteria_c;Pseudonocardiales;Pseudonocardiaceae;Lechevalieria;unknown
ASV490	Bacteria;Actinobacteria;Actinobacteria_c;Kineosporiales;Kineosporiaceae;Kineococcus;unknown
ASV169	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;unknown
ASV438	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;unknown
ASV322	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Intrasporangiaceae;Janibacter;unknown
ASV49	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;unknown
ASV535	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Woeseiaceae;Woeseia;unknown
ASV505	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;unknown
ASV430	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;unknown
ASV54	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Tsukamurellaceae;Tsukamurella;unknown
ASV5	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Tsukamurellaceae;Tsukamurella;unknown
ASV458	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter;unknown
ASV482	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Tepidisphaeraceae;Tepidisphaera;unknown
ASV389	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV471	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV206	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV402	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV10	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV56	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV225	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV167	Bacteria;Actinobacteria;Actinobacteria_c;Streptomycetales;Streptomycetaceae;Streptomyces;unknown
ASV475	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unknown
ASV579	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacter_o;Steroidobacter_f;Steroidobacter;unknown
ASV335	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;unknown
ASV205	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;unknown
ASV134	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;unknown
ASV98	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;unknown
ASV48	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV248	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV246	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV364	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV24	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV33	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV4	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV188	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unknown
ASV317	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;unknown
ASV110	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;unknown
ASV575	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;unknown
ASV232	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV501	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV499	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV503	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV504	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV209	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV425	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV409	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV465	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV566	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV215	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV259	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV488	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV487	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV137	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV416	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV21	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV310	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV175	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV456	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV459	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV127	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV391	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV394	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV300	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV439	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV187	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown
ASV498	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;unknown
ASV213	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV212	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV412	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV90	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV329	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV269	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV165	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV185	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;unknown
ASV305	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingoaurantiacus;unknown
ASV257	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;unknown
ASV491	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Singulisphaera;unknown
ASV15	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;unknown
